fiducial,inversion_name,X,Y,DEPTH,ELEVATION,DEM,UNCERTAINTY,Type,BoundaryNm,BoundConf,BasisOfInt,OvrConf,OvrStrtUnt,OvrStrtCod,UndStrtUnt,UndStrtCod,WithinType,WithinStrt,WithinStNo,WithinConf,InterpRef,Comment,SURVEY_LINE,Operator,point_index,Colour,Marker,MarkerSize
7321.39990234375,galei,764191,7138381,141,270.7,411.8,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3045002,User,284,black,triangle-down-dot,10
7144.60009765625,galei,752758,7138823,161,246.7,407.5,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3045002,User,55,black,triangle-down-dot,10
7120.0,galei,751160,7138896,138,282.7,420.4,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3045002,User,23,black,triangle-down-dot,10
7120.0,galei,751160,7138896,78,342.7,420.4,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,3045002,User,23,darkgrey,triangle-up-dot,10
4966.7998046875,galei,834999,7161208,57,402.0,458.7,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3046002,User,200,black,triangle-down-dot,10
4943.7998046875,galei,836498,7161155,55,402.0,457.3,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3046002,User,230,black,triangle-down-dot,10
4922.2001953125,galei,837897,7161113,42,414.0,455.9,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3046002,User,258,black,triangle-down-dot,10
4896.39990234375,galei,839542,7160988,42,414.0,456.5,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3046002,User,291,black,triangle-down-dot,10
4871.60009765625,galei,841139,7160892,52,408.0,459.8,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3046002,User,323,black,triangle-down-dot,10
4853.60009765625,galei,842284,7160790,47,414.0,460.8,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3046002,User,346,black,triangle-down-dot,10
4838.60009765625,galei,843232,7160731,56,408.0,464.4,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3046002,User,365,black,triangle-down-dot,10
5107.60009765625,galei,826057,7161545,146,336.0,482.3,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3046002,User,21,black,triangle-down-dot,10
5083.39990234375,galei,827556,7161482,142,336.0,477.8,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3046002,User,51,black,triangle-down-dot,10
5067.39990234375,galei,828605,7161452,145,336.0,480.8,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3046002,User,72,black,triangle-down-dot,10
