fiducial,inversion_name,X,Y,DEPTH,ELEVATION,DEM,Type,BoundaryNm,SURVEY_LINE,Operator,point_index,polyline,colour,Marker,MarkerSize
7268.799805,galei,760796,7138485,119,282.7,402,Top_Grimes,Top_Grimes_Siltstone,3045002,User,216,1,#0EFE03,triangle-down-dot,12
7275,galei,761196,7138463,116,288.7,405,Top_Grimes,Top_Grimes_Siltstone,3045002,User,224,1,#0EFE03,triangle-down-dot,12
7288.200195,galei,762044,7138407,123,282.7,405.4,Top_Grimes,Top_Grimes_Siltstone,3045002,User,241,1,#0EFE03,triangle-down-dot,12
7321.399902,galei,764191,7138381,141,270.7,411.8,Top_Grimes,Top_Grimes_Siltstone,3045002,User,284,1,#0EFE03,triangle-down-dot,12
5107.600098,galei,826057,7161545,146,336,482.3,Top_Grimes,Top_Grimes_Siltstone,3046002,User,21,1,#0EFE03,triangle-down-dot,12
5083.399902,galei,827556,7161482,142,336,477.8,Top_Grimes,Top_Grimes_Siltstone,3046002,User,51,1,#0EFE03,triangle-down-dot,12
5067.399902,galei,828605,7161452,145,336,480.8,Top_Grimes,Top_Grimes_Siltstone,3046002,User,72,1,#0EFE03,triangle-down-dot,12
5046.399902,galei,829954,7161403,146,336,481.8,Top_Grimes,Top_Grimes_Siltstone,3046002,User,99,1,#0EFE03,triangle-down-dot,12
5026.799805,galei,831203,7161359,134,336,469.6,Top_Grimes,Top_Grimes_Siltstone,3046002,User,124,1,#0EFE03,triangle-down-dot,12
5008.600098,galei,832352,7161323,130,336,465.9,Top_Grimes,Top_Grimes_Siltstone,3046002,User,147,1,#0EFE03,triangle-down-dot,12
4995.200195,galei,833201,7161278,125,336,461.4,Top_Grimes,Top_Grimes_Siltstone,3046002,User,164,1,#0EFE03,triangle-down-dot,12
4980.799805,galei,834100,7161244,129,330,459.3,Top_Grimes,Top_Grimes_Siltstone,3046002,User,182,1,#0EFE03,triangle-down-dot,12
4966.799805,galei,834999,7161208,57,402,458.7,Top_Grimes,Top_Grimes_Siltstone,3046002,User,200,1,#0EFE03,triangle-down-dot,12
4943.799805,galei,836498,7161155,55,402,457.3,Top_Grimes,Top_Grimes_Siltstone,3046002,User,230,1,#0EFE03,triangle-down-dot,12
4922.200195,galei,837897,7161113,42,414,455.9,Top_Grimes,Top_Grimes_Siltstone,3046002,User,258,1,#0EFE03,triangle-down-dot,12
4896.399902,galei,839542,7160988,42,414,456.5,Top_Grimes,Top_Grimes_Siltstone,3046002,User,291,1,#0EFE03,triangle-down-dot,12
4871.600098,galei,841139,7160892,52,408,459.8,Top_Grimes,Top_Grimes_Siltstone,3046002,User,323,1,#0EFE03,triangle-down-dot,12
4853.600098,galei,842284,7160790,47,414,460.8,Top_Grimes,Top_Grimes_Siltstone,3046002,User,346,1,#0EFE03,triangle-down-dot,12
4838.600098,galei,843232,7160731,56,408,464.4,Top_Grimes,Top_Grimes_Siltstone,3046002,User,365,1,#0EFE03,triangle-down-dot,12
7251.399902,galei,820411,7313418,275,115,390.1,Top_Grimes,Top_Grimes_Siltstone,3053001,User,8,1,#0EFE03,triangle-down-dot,12
7312.200195,galei,824808,7313404,279,85,363.6,Top_Grimes,Top_Grimes_Siltstone,3053001,User,96,1,#0EFE03,triangle-down-dot,12
7335.600098,galei,826407,7313349,272,85,357.3,Top_Grimes,Top_Grimes_Siltstone,3053001,User,128,1,#0EFE03,triangle-down-dot,12
7359.399902,galei,828006,7313303,237,121,357.6,Top_Grimes,Top_Grimes_Siltstone,3053001,User,160,1,#0EFE03,triangle-down-dot,12
7373.200195,galei,828904,7313256,231,115,345.7,Top_Grimes,Top_Grimes_Siltstone,3053001,User,178,1,#0EFE03,triangle-down-dot,12
7393,galei,830153,7313218,222,127,349,Top_Grimes,Top_Grimes_Siltstone,3053001,User,203,1,#0EFE03,triangle-down-dot,12
7410.200195,galei,831251,7313146,201,145,345.7,Top_Grimes,Top_Grimes_Siltstone,3053001,User,225,1,#0EFE03,triangle-down-dot,12
7429.399902,galei,832500,7313124,186,163,349.3,Top_Grimes,Top_Grimes_Siltstone,3053001,User,250,1,#0EFE03,triangle-down-dot,12
7440.200195,galei,833200,7313114,181,169,350.2,Top_Grimes,Top_Grimes_Siltstone,3053001,User,264,1,#0EFE03,triangle-down-dot,12
7468.200195,galei,835047,7313043,179,169,347.7,Top_Grimes,Top_Grimes_Siltstone,3053001,User,301,1,#0EFE03,triangle-down-dot,12
7488.600098,galei,836396,7313098,185,169,354.3,Top_Grimes,Top_Grimes_Siltstone,3053001,User,328,1,#0EFE03,triangle-down-dot,12
