,OBJECTID,ENO,WELL,Latitude,Longitude,GA_GUID,UWI,GA_UNIT,TOP_MD_M,BASE_MD_M,DATUM_ELEVATION,TD_MD_M,DATA_SOURCE,SRTM_HE,HIERARCHY,POINT_X,POINT_Y,Diff_X,Diff_Y,GDA94_Latitude,GDA94_Longitude,GA_PREFERRED_TD_M,GA_ELEVATION,TAG,GA_STRATNO,TOP_AHD_M,BASE_AHD_M,geometry
454,455,15136.0,Rodney Creek 3,-23.067222,144.76916699999998,{c513d02f-d09a-498a-9f56-d5dfdcf1e21a},15136,Wallumbilla Formation,383.5,545.5,213.6921234,985.0,GA_2020,213.6921234,10,144.76916699999998,-23.067222,0.0,0.0,-23.067222,144.76916699999998,985.0,260.81,,19323.0,-169.8078766,-331.80787660000004,POINT (271453.901278181 7447294.877959455)
600,601,441825.0,Rodney Creek 1,-23.06570247,144.76752019999998,{1b0efd18-ee20-44e3-a3f0-52fa79b3e769},441825,Rolling Downs Group,1.4,366.5,216.09909059999998,1166.04,GA_2020,216.09909059999998,10,144.76752019999998,-23.06570248,-5e-10,-3e-10,-23.065805800000003,144.7663889,1166.04,258.0029,,16267.0,214.6990906,-150.40090940000002,POINT (271282.5584457767 7447460.603086102)
601,602,441825.0,Rodney Creek 1,-23.06570247,144.76752019999998,{1fb10d7a-7347-4b9e-b258-309876591fa1},441825,Toolebuc Formation,366.5,378.5,216.09909059999998,1166.04,GA_2020,216.09909059999998,10,144.76752019999998,-23.06570248,-5e-10,-3e-10,-23.065805800000003,144.7663889,1166.04,258.0029,,18375.0,-150.40090940000002,-162.40090940000002,POINT (271282.5584457767 7447460.603086102)
602,603,441825.0,Rodney Creek 1,-23.06570247,144.76752019999998,{c4bcd689-5853-4d50-84d9-ef22e882014e},441825,Wallumbilla Formation,378.5,545.5,216.09909059999998,1166.04,GA_2020,216.09909059999998,10,144.76752019999998,-23.06570248,-5e-10,-3e-10,-23.065805800000003,144.7663889,1166.04,258.0029,,19323.0,-162.40090940000002,-329.40090939999993,POINT (271282.5584457767 7447460.603086102)
687,688,441903.0,Rodney Creek 7,-23.06625812,144.7614092,{7e56d1db-2eac-4bd9-b5ee-0ea1be5eb6cc},441903,Mackunda Formation,4.0,104.0,221.0371094,1130.0,GA_2020,221.0371094,10,144.7614092,-23.06625812,-2e-10,-5e-10,-23.066361399999998,144.7602778,1130.0,264.4734,,10952.0,217.0371094,117.0371094,POINT (270657.2073472455 7447389.48073335)
688,689,441903.0,Rodney Creek 7,-23.06625812,144.7614092,{a4daac35-6a84-4921-a6a4-49aeeb350895},441903,Allaru Mudstone,104.0,368.0,221.0371094,1130.0,GA_2020,221.0371094,10,144.7614092,-23.06625812,-2e-10,-5e-10,-23.066361399999998,144.7602778,1130.0,264.4734,,291.0,117.0371094,-146.9628906,POINT (270657.2073472455 7447389.48073335)
689,690,441903.0,Rodney Creek 7,-23.06625812,144.7614092,{580175ca-b1fe-4cce-a022-43d54445e9b2},441903,Wallumbilla Formation,368.0,545.0,221.0371094,1130.0,GA_2020,221.0371094,10,144.7614092,-23.06625812,-2e-10,-5e-10,-23.066361399999998,144.7602778,1130.0,264.4734,,19323.0,-146.9628906,-323.96289060000004,POINT (270657.2073472455 7447389.48073335)
767,768,554853.0,Shoemaker 1,-22.0659444,146.2405556,{5c1a6ef5-edec-40a2-a58b-17d71846148e},554853,Moolayember Formation,3.2,80.8,247.26823430000005,697.59,GA_GBA_GALILEE,247.26823430000005,2,146.24056389999998,-22.06605,8.3e-06,-0.0001056,-22.0659444,146.2405556,697.59,297.0,,12187.0,244.06823430000003,166.4682343,POINT (421644.1438495761 7559678.799001497)
768,769,554853.0,Shoemaker 1,-22.0659444,146.2405556,{ad3fa024-e24d-4bb5-9e40-bf45bf00a995},554853,Clematis Group,80.8,199.7,247.26823430000005,697.59,GA_GBA_GALILEE,247.26823430000005,2,146.24056389999998,-22.06605,8.3e-06,-0.0001056,-22.0659444,146.2405556,697.59,297.0,,4137.0,166.4682343,47.56823425,POINT (421644.1438495761 7559678.799001497)
769,770,554853.0,Shoemaker 1,-22.0659444,146.2405556,{38a05901-c6dd-4940-abff-2a0dfcc091ef},554853,Rewan Group,199.7,529.5,247.26823430000005,697.59,GA_GBA_GALILEE,247.26823430000005,2,146.24056389999998,-22.06605,8.3e-06,-0.0001056,-22.0659444,146.2405556,697.59,297.0,,16054.0,47.56823425,-282.2317657,POINT (421644.1438495761 7559678.799001497)
1631,1632,649352.0,MYROSS 1,-22.770986100000002,145.40660830000002,{0ddd33cb-f740-420a-a3bc-ad85b8e48c1c},649352,Moolayember Formation,166.0,482.0,240.4164429,1098.37,GA_GBA_GALILEE,240.4164429,2,145.40660830000002,-22.770986100000002,0.0,0.0,-22.770986100000002,145.40660830000002,1098.37,240.52,,12187.0,74.41644287,-241.5835571,POINT (336417.7393583492 7480951.105303678)
1632,1633,649352.0,MYROSS 1,-22.770986100000002,145.40660830000002,{73e926a0-d09b-4127-ad3b-487dd3b904ed},649352,Clematis Group,482.0,560.0,240.4164429,1098.37,GA_GBA_GALILEE,240.4164429,2,145.40660830000002,-22.770986100000002,0.0,0.0,-22.770986100000002,145.40660830000002,1098.37,240.52,,4137.0,-241.5835571,-319.58355710000006,POINT (336417.7393583492 7480951.105303678)
1647,1648,649505.0,GUNN 1,-22.3671674,145.86811980000002,{e1c43672-76c9-4611-8d3e-4d9f0d49d0a8},649505,Moolayember Formation,60.0,389.3,291.2685852,1036.6,GA_GBA_GALILEE,291.2685852,2,145.8681194,-22.3671667,-4e-07,7e-07,-22.3671674,145.86811980000002,1036.6,291.38,,12187.0,231.2685852,-98.03141479,POINT (383464.0908349586 7526093.771644194)
1648,1649,649505.0,GUNN 1,-22.3671674,145.86811980000002,{bbe64b7b-8bc0-4950-ba1d-fa2f3ff00a83},649505,Clematis Group,389.3,487.5,291.2685852,1036.6,GA_GBA_GALILEE,291.2685852,2,145.8681194,-22.3671667,-4e-07,7e-07,-22.3671674,145.86811980000002,1036.6,291.38,,4137.0,-98.03141479,-196.2314148,POINT (383464.0908349586 7526093.771644194)
1649,1650,649505.0,GUNN 1,-22.3671674,145.86811980000002,{1f19ed9b-b921-4b30-9102-306038412650},649505,Rewan Group,487.3,835.5,291.2685852,1036.6,GA_GBA_GALILEE,291.2685852,2,145.8681194,-22.3671667,-4e-07,7e-07,-22.3671674,145.86811980000002,1036.6,291.38,,16054.0,-196.0314148,-544.2314147999999,POINT (383464.0908349586 7526093.771644194)
1917,1918,,RN100255,-23.06456704,144.76865569999998,{55bfb212-7903-47ce-892d-82e2f7872596},RN100255,Rolling Downs Group,0.0,366.0,214.8,1166.0,DNRM_QLD_GROUNDWATER_DB2017,214.9432526,12,144.76865569999998,-23.06456704,0.0,0.0,,,,,,16267.0,214.8,-151.2,POINT (271397.01166124 7447588.139391104)
1918,1919,,RN100255,-23.06456704,144.76865569999998,{d404e5ab-9959-4d1d-8da6-8fac86494dcf},RN100255,Toolebuc Formation,366.0,378.0,214.8,1166.0,DNRM_QLD_GROUNDWATER_DB2017,214.9432526,12,144.76865569999998,-23.06456704,0.0,0.0,,,,,,18375.0,-151.2,-163.2,POINT (271397.01166124 7447588.139391104)
1919,1920,,RN100255,-23.06456704,144.76865569999998,{f7223536-28aa-4cf3-b902-a786ed53ef8c},RN100255,Wallumbilla Formation,378.0,546.0,214.8,1166.0,DNRM_QLD_GROUNDWATER_DB2017,214.9432526,12,144.76865569999998,-23.06456704,0.0,0.0,,,,,,19323.0,-163.2,-331.2,POINT (271397.01166124 7447588.139391104)
1942,1943,,RN100257,-23.067156699999998,144.7663671,{23d70213-0892-46e4-be6f-f742ef8c2766},RN100257,Mackunda Formation,0.0,118.0,216.31105040000003,1268.0,DNRM_QLD_GROUNDWATER_DB2017,216.31105040000003,12,144.7663671,-23.067156699999998,0.0,1.0300000000000002e-13,,,,,,10952.0,216.31105040000003,98.31105042,POINT (271166.8430880396 7447297.728075176)
1943,1944,,RN100257,-23.067156699999998,144.7663671,{64f66be7-88c9-46e2-94bf-72e1647efbcc},RN100257,Allaru Mudstone,118.0,366.0,216.31105040000003,1268.0,DNRM_QLD_GROUNDWATER_DB2017,216.31105040000003,12,144.7663671,-23.067156699999998,0.0,1.0300000000000002e-13,,,,,,291.0,98.31105042,-149.6889496,POINT (271166.8430880396 7447297.728075176)
1944,1945,,RN100257,-23.067156699999998,144.7663671,{bb11b5d2-5bb2-40ff-bca4-4749b35e29bc},RN100257,Toolebuc Formation,366.0,380.0,216.31105040000003,1268.0,DNRM_QLD_GROUNDWATER_DB2017,216.31105040000003,12,144.7663671,-23.067156699999998,0.0,1.0300000000000002e-13,,,,,,18375.0,-149.6889496,-163.6889496,POINT (271166.8430880396 7447297.728075176)
1945,1946,,RN100257,-23.067156699999998,144.7663671,{2c82efd2-fabb-4175-89a0-2bda68a36c39},RN100257,Wallumbilla Formation,380.0,542.0,216.31105040000003,1268.0,DNRM_QLD_GROUNDWATER_DB2017,216.31105040000003,12,144.7663671,-23.067156699999998,0.0,1.0300000000000002e-13,,,,,,19323.0,-163.6889496,-325.6889496,POINT (271166.8430880396 7447297.728075176)
